CODGEO;P20_POP;P14_POP;P09_POP;D99_POP;D90_POP;D82_POP;D75_POP;D68_POP;SUPERF;NAIS1420;NAIS0914;NAIS9909;NAIS9099;NAIS8290;NAIS7582;NAIS6875;DECE1420;DECE0914;DECE9909;DECE9099;DECE8290;DECE7582;DECE6875;P20_LOG;P14_LOG;P09_LOG;D99_LOG;D90_LOG;D82_LOG;D75_LOG;D68_LOG;P20_RP;P14_RP;P09_RP;D99_RP;D90_RP;D82_RP;D75_RP;D68_RP;P20_RSECOCC;P14_RSECOCC;P09_RSECOCC;D99_RSECOCC;D90_RSECOCC;D82_RSECOCC;D75_RSECOCC;D68_RSECOCC;P20_LOGVAC;P14_LOGVAC;P09_LOGVAC;D99_LOGVAC;D90_LOGVAC;D82_LOGVAC;D75_LOGVAC;D68_LOGVAC;P20_PMEN;P14_PMEN;P09_PMEN;D99_PMEN;D90_NPER_RP;D82_NPER_RP;D75_NPER_RP;D68_NPER_RP
97501;585;617;604;698;697;626;608;621;216;24;23;;;;;;29;20;;;;;;626.432620055066;614.368574767043;555.046312972841;493;427;350;;;268.085504662333;275.372483221477;259.410256410256;260;223;182;;;346.816143857818;313.314569458781;268.927503165965;226;186;154;;;11.5309715349147;25.6815220867853;26.7085533966198;7;18;14;;;585;617;604;698;679;621;608;621
97502;5340;5417;5478;5618;5580;5415;5232;4565;26;230;255;;;;;;274;181;;;;;;2670.58037747434;2660.01287559522;2676.58284868795;2440;2236;1965;;;2370.97812980949;2355.03217232417;2351.18478279973;2155;1884;1578;;;151.209911830849;158.630902708097;187.72965339705;221;270;289;;;148.392335834001;146.349800562954;137.66841249117;64;82;98;;;5256.33939850789;5330.33680454174;5391.3360067886;5532;5453;5336;5232;4472
97701;10457;9427;8902;6852;5038;3059;2491;2351;21;541;491;955;623;414;238;278;272;203;345;262;202;140;184;5800.21341839215;4978.38176764869;3922.40496554318;3466;2475;1344;908;667;4206.93362879487;3843.38176764869;3616.20839969491;2759;1815;955;670;618;1257.60709069164;739.518413597734;231.144933482697;413;482;166;62;10;335.672698905646;395.481586402266;75.0516323655709;294;178;223;176;39;10273.0002167092;9296;8753.99226109506;6696;4906;3047;2479;2339
97801;31801;35107;36824;29078;28518;8072;6191;5061;53.2;3573;3930;8329;6467;3260;1854;1784;892;637;1010;823;550;439;389;17157.0567809463;17676.9166805886;16270.9682771396;11056;9754;3303;2707;1297;12796.2585002354;13652.9737749406;13356.0757802522;9829;8475;2468;1909;1175;1688.31096669089;1749.79442077627;1232.27179912081;241;184;89;25;24;2672.48731402004;2274.14848487175;1682.62069776663;986;1095;746;773;98;31649.0016686415;34912.0024247798;36509.9987441771;28664;28041;8033;6186;5010
